RK,TIERS,PLAYER NAME,TEAM,POS#,POS,BYE WEEK,SOS SEASON,ECR VS. ADP,AVG. POINTS ,% GAMES 
73,7,Najee Harris,PIT,RB22,RB,9,4,-3,0,43% (7/16)
74,7,D'Andre Swift,CHI,RB23,RB,7,2,-15,-1.4,31% (5/16)
75,7,Jayden Daniels,WAS,QB11,QB,14,3,29,-,-
76,7,Brock Purdy,SF,QB12,QB,9,2,14,1.5,62% (10/16)
77,7,Zamir White,LV,RB24,RB,10,3,-11,-0.5,25% (4/16)
78,7,Evan Engram,JAC,TE6,TE,12,3,-11,0.8,43% (7/16)
79,7,Jayden Reed,GB,WR37,WR,10,4,2,3.6,66% (10/15)
80,7,Kyle Pitts,ATL,TE7,TE,12,3,-18,-0.6,31% (5/16)
81,7,Raheem Mostert,MIA,RB25,RB,6,3,-7,3.8,60% (9/15)
82,7,Javonte Williams,DEN,RB26,RB,14,4,2,-1.8,26% (4/15)
83,7,Jaxon Smith-Njigba,SEA,WR38,WR,10,3,18,-0.2,50% (8/16)
84,7,George Kittle,SF,TE8,TE,9,4,-31,1,50% (8/16)
85,7,Tony Pollard,TEN,RB27,RB,5,3,-6,-3.5,31% (5/16)
86,7,Jaylen Warren,PIT,RB28,RB,9,4,-3,0.4,43% (7/16)
87,7,Caleb Williams,CHI,QB13,QB,7,4,21,-,-
88,7,Tua Tagovailoa,MIA,QB14,QB,6,2,25,-1,37% (6/16)
89,7,Jared Goff,DET,QB15,QB,5,4,23,1.5,56% (9/16)
90,7,DeAndre Hopkins,TEN,WR39,WR,5,4,8,-0.2,37% (6/16)
91,7,Brian Robinson Jr.,WAS,RB29,RB,14,3,1,1.3,50% (7/14)
92,7,Jake Ferguson,DAL,TE9,TE,7,2,-10,0.4,50% (8/16)
93,7,Xavier Worthy,KC,WR40,WR,6,3,-2,-,-
94,7,Tyjae Spears,TEN,RB30,RB,5,3,1,0,43% (7/16)
95,7,Trevor Lawrence,JAC,QB16,QB,12,5,32,0,33% (5/15)
96,7,Devin Singletary,NYG,RB31,RB,11,3,-3,0.1,50% (8/16)
97,7,David Njoku,CLE,TE10,TE,10,3,-17,2.2,62% (10/16)
98,8,Rome Odunze,CHI,WR41,WR,7,4,1,-,-
99,8,Courtland Sutton,DEN,WR42,WR,14,2,18,0.7,66% (10/15)
100,8,Ladd McConkey,LAC,WR43,WR,5,3,-4,-,-
101,8,Jordan Addison,MIN,WR44,WR,6,3,5,1.3,37% (6/16)
102,8,Hollywood Brown,KC,WR45,WR,6,3,-2,-2.4,42% (6/14)
